chat_id,turn,text,intent,variables,aggregation,locations,times,operation,ctx_locations,ctx_times,split,source,lang
v1-tr-00040,0,whats up with the rain probability in ramarajupalem krishna andhra pradesh next week?,FORECAST,RAIN,RAW,"[""ramarajupalem krishna andhra pradesh""]","[""next week""]",SET,"[""ramarajupalem krishna andhra pradesh""]","[""next week""]",train,v1,en
v1-tr-00041,0,Warn me about the ground temp around my area from 9:43 am to 1 PM,ALERT,SOIL_TEMPERATURE,RAW,"[""my area""]","[""9:43 am to 1 PM""]",SET,"[""my area""]","[""9:43 am to 1 PM""]",train,v1,en
v1-tr-00042,0,"Put the how hot around here against Guhalipada, Basta from 7:02 AM to 10 PM kindly",COMPARE,TEMPERATURE,RAW,"[""here"", ""Guhalipada, Basta""]","[""7:02 AM to 10 PM""]",SET,"[""here"", ""Guhalipada, Basta""]","[""7:02 AM to 10 PM""]",train,v1,en
v1-tr-00043,0,Tomorrow night dewpoint figures in my feild,FORECAST,DEW_POINT,RAW,"[""my feild""]","[""Tomorrow night""]",SET,"[""my feild""]","[""Tomorrow night""]",train,v1,en
v1-tr-00044,0,noitfiy me about the day high in pathra bandh on monday,ALERT,TEMPERATURE_MAX,RAW,"[""pathra bandh""]","[""monday""]",SET,"[""pathra bandh""]","[""monday""]",train,v1,en
v1-tr-00045,0,"Any idea abotu the weather prediction in Lasoodlya Pata, Narsinghgarh for the next 3 days",FORECAST,GENERAL,RAW,"[""Lasoodlya Pata, Narsinghgarh""]","[""next 3 days""]",SET,"[""Lasoodlya Pata, Narsinghgarh""]","[""next 3 days""]",train,v1,en
v1-tr-00046,0,Tel me due poit nxt week,FORECAST,DEW_POINT,RAW,[],"[""nxt week""]",SET,[],"[""nxt week""]",train,v1,en
v1-tr-00047,0,how is the coldest temperature in chadnarpur tommorow?,FORECAST,TEMPERATURE_MIN,RAW,"[""chadnarpur""]","[""tommorow""]",SET,"[""chadnarpur""]","[""tommorow""]",train,v1,en
v1-tr-00048,0,What is the weekly wather in Tola Kuhranda?,CURRENT,GENERAL,RAW,"[""Tola Kuhranda""]",[],SET,"[""Tola Kuhranda""]",[],train,v1,en
v1-tr-00049,0,"between pail and guinea-bissau, which one looks bettre for oernight temperature last week?",COMPARE,TEMPERATURE_MIN,RAW,"[""pail"", ""guinea-bissau""]","[""last week""]",SET,"[""pail"", ""guinea-bissau""]","[""last week""]",train,v1,en
v1-tr-00050,0,"Compare the weater situtaion in my farm with Govana, Jamnagar, Gujarat this afternoon",COMPARE,GENERAL,RAW,"[""my farm"", ""Govana, Jamnagar, Gujarat""]","[""this afternoon""]",SET,"[""my farm"", ""Govana, Jamnagar, Gujarat""]","[""this afternoon""]",train,v1,en
v1-tr-00051,0,"Solar expousre in Sikkmi India, Chaura and Odha, Mainpur from 2 am to 7 AM pls",COMPARE,SUNSHINE,RAW,"[""Sikkmi India"", ""Chaura"", ""Odha, Mainpur""]","[""2 am to 7 AM""]",SET,"[""Sikkmi India"", ""Chaura"", ""Odha, Mainpur""]","[""2 am to 7 AM""]",train,v1,en
v1-tr-00052,0,"Comparre the gust sped in my vilage with Teegalavancha, West Godavari, Andhra Pradesh this week..",COMPARE,WIND_SPEED,RAW,"[""my vilage"", ""Teegalavancha, West Godavari, Andhra Pradesh""]","[""this week""]",SET,"[""my vilage"", ""Teegalavancha, West Godavari, Andhra Pradesh""]","[""this week""]",train,v1,en
v1-tr-00053,0,"How does the hours of sun in my village compare with Bandarchuan, Chatra, Jharkhand next month?",COMPARE,SUNSHINE,RAW,"[""my village"", ""Bandarchuan, Chatra, Jharkhand""]","[""next month""]",SET,"[""my village"", ""Bandarchuan, Chatra, Jharkhand""]","[""next month""]",train,v1,en
v1-tr-00054,0,flag the moisture in the soil tomorrow evening,ALERT,SOIL_MOISTURE,RAW,[],"[""tomorrow evening""]",SET,[],"[""tomorrow evening""]",train,v1,en
v1-tr-00055,0,Weakest dew pont in Patandadar nxt week,FORECAST,DEW_POINT,MIN,"[""Patandadar""]","[""nxt week""]",SET,"[""Patandadar""]","[""nxt week""]",train,v1,en
v1-tr-00056,0,i need the ground temperature reading for vanapuram at 4 am,FORECAST,SOIL_TEMPERATURE,RAW,"[""vanapuram""]","[""4 am""]",SET,"[""vanapuram""]","[""4 am""]",train,v1,en
v1-tr-00057,0,Let me know if the crurent conditions changes in Kotputli this morning,ALERT,GENERAL,RAW,"[""Kotputli""]","[""this morning""]",SET,"[""Kotputli""]","[""this morning""]",train,v1,en
v1-tr-00058,0,"Warn me about the hawa ki disha in Mogolpatna, Odisha tomorrow",ALERT,WIND_DIRECTION,RAW,"[""Mogolpatna, Odisha""]","[""tomorrow""]",SET,"[""Mogolpatna, Odisha""]","[""tomorrow""]",train,v1,en
v1-tr-00059,0,Is any wind velocity adiisory issued for Mariahu this weekend?,ALERT,WIND_SPEED,RAW,"[""Mariahu""]","[""this weekend""]",SET,"[""Mariahu""]","[""this weekend""]",train,v1,en
v1-tr-00060,0,I need the dewpoint tempertue reading for Sitaalpur Kakrahta tomorow,FORECAST,DEW_POINT,RAW,"[""Sitaalpur Kakrahta""]","[""tomorow""]",SET,"[""Sitaalpur Kakrahta""]","[""tomorow""]",train,v1,en
v1-tr-00061,0,warnings about badal in Turnl?,ALERT,CLOUD_COVER,RAW,"[""Turnl""]",[],SET,"[""Turnl""]",[],train,v1,en
v1-tr-00062,0,When is the prredictions highest in Dumurdiha East Singhbhum tomorow..,FORECAST,GENERAL,MAX,"[""Dumurdiha East Singhbhum""]","[""tomorow""]",SET,"[""Dumurdiha East Singhbhum""]","[""tomorow""]",train,v1,en
v1-tr-00063,0,Weakest moisure level in Sadar day after tomorrow,FORECAST,HUMIDITY,MIN,"[""Sadar""]","[""day after tomorrow""]",SET,"[""Sadar""]","[""day after tomorrow""]",train,v1,en
v1-tr-00064,0,"Is Zinner, Washi or Chiluveru the safer bet for weathher oetlook tonight?",COMPARE,GENERAL,RAW,"[""Zinner, Washi"", ""Chiluveru""]","[""tonight""]",SET,"[""Zinner, Washi"", ""Chiluveru""]","[""tonight""]",train,v1,en
v1-tr-00065,0,"budhel, gujarat versus tada due point tomorrow evening",COMPARE,DEW_POINT,RAW,"[""budhel, gujarat"", ""tada""]","[""tomorrow evening""]",SET,"[""budhel, gujarat"", ""tada""]","[""tomorrow evening""]",train,v1,en
v1-tr-00066,0,Diffrence in direction wind between Jobla Busudih Teegalavancha in 30 minutes,COMPARE,WIND_DIRECTION,RAW,"[""Jobla Busudih"", ""Teegalavancha""]","[""30 minutes""]",SET,"[""Jobla Busudih"", ""Teegalavancha""]","[""30 minutes""]",train,v1,en
v1-tr-00067,0,reminder for hawa ki dsaa gospurnatara unnao uttarpradesh during the sowing week,ALERT,WIND_DIRECTION,RAW,"[""gospurnatara unnao uttarpradesh""]","[""sowing week""]",SET,"[""gospurnatara unnao uttarpradesh""]","[""sowing week""]",train,v1,en
v1-tr-00068,0,Flag the ouside conditions for Chakarapalle 2day,ALERT,GENERAL,RAW,"[""Chakarapalle""]","[""2day""]",SET,"[""Chakarapalle""]","[""2day""]",train,v1,en
v1-tr-00069,0,"Any warnings about ground temp in Zaptiveerappaguda, Mirialguda, Nalgonda yesterday",ALERT,SOIL_TEMPERATURE,RAW,"[""Zaptiveerappaguda, Mirialguda, Nalgonda""]","[""yesterday""]",SET,"[""Zaptiveerappaguda, Mirialguda, Nalgonda""]","[""yesterday""]",train,v1,en
v1-tr-00070,0,"Tell me when forcast changes Iowa, United States",ALERT,GENERAL,RAW,"[""Iowa, United States""]",[],SET,"[""Iowa, United States""]",[],train,v1,en
v1-tr-00071,0,when will the woich way the wind blows start dropping in bulaki tola from 10 am to 11 pm?,FORECAST,WIND_DIRECTION,TREND,"[""bulaki tola""]","[""10 am to 11 pm""]",SET,"[""bulaki tola""]","[""10 am to 11 pm""]",train,v1,en
v1-tr-00072,0,"Which is better for ground moistuure, Bakkeshwar, West Bengal or Rajasthan?",COMPARE,SOIL_MOISTURE,RAW,"[""Bakkeshwar, West Bengal"", ""Rajasthan""]",[],SET,"[""Bakkeshwar, West Bengal"", ""Rajasthan""]",[],train,v1,en
v1-tr-00073,0,"Compare dew point Sugur, Tiptur, Tumakuru, Karnataka Bhokraha, Darbhanga, Bihar tommorow",COMPARE,DEW_POINT,RAW,"[""Sugur, Tiptur, Tumakuru, Karnataka"", ""Bhokraha, Darbhanga, Bihar""]","[""tommorow""]",SET,"[""Sugur, Tiptur, Tumakuru, Karnataka"", ""Bhokraha, Darbhanga, Bihar""]","[""tommorow""]",train,v1,en
v1-tr-00074,0,"Notify me abotu the sunlight in Sarsand, Hardoi",ALERT,SUNSHINE,RAW,"[""Sarsand, Hardoi""]",[],SET,"[""Sarsand, Hardoi""]",[],train,v1,en
v1-tr-00075,0,compaare mandaria and mithwal buzurg siddharthnagar uttarpradesh wind,COMPARE,WIND_SPEED,RAW,"[""mandaria"", ""mithwal buzurg siddharthnagar uttarpradesh""]",[],SET,"[""mandaria"", ""mithwal buzurg siddharthnagar uttarpradesh""]",[],train,v1,en
v1-tr-00076,0,let me know if the soil heat level changes in niranjan chak tomorow,ALERT,SOIL_TEMPERATURE,RAW,"[""niranjan chak""]","[""tomorow""]",SET,"[""niranjan chak""]","[""tomorow""]",train,v1,en
v1-tr-00077,0,Tell when showers chnages Salai tomorrow evening,ALERT,RAIN,RAW,"[""Salai""]","[""tomorrow evening""]",SET,"[""Salai""]","[""tomorrow evening""]",train,v1,en
v1-tr-00078,0,Highest humididty Kawadipalle tomorrow evening,FORECAST,HUMIDITY,MAX,"[""Kawadipalle""]","[""tomorrow evening""]",SET,"[""Kawadipalle""]","[""tomorrow evening""]",train,v1,en
v1-tr-00079,0,"Compare the light rain between Mandaria and Bagbahra, Chhatisgarh tomorrow night",COMPARE,RAIN,RAW,"[""Mandaria"", ""Bagbahra, Chhatisgarh""]","[""tomorrow night""]",SET,"[""Mandaria"", ""Bagbahra, Chhatisgarh""]","[""tomorrow night""]",train,v1,en
v1-tr-00080,0,Is theere any strong wind waarning tommorow?,ALERT,WIND_SPEED,RAW,[],"[""tommorow""]",SET,[],"[""tommorow""]",train,v1,en
v1-tr-00081,0,can you keep an eye on the humidty in kheruwa today?,ALERT,HUMIDITY,RAW,"[""kheruwa""]","[""today""]",SET,"[""kheruwa""]","[""today""]",train,v1,en
v1-tr-00082,0,"We mieht go to Angara Khurd or Thakurdi tonight, how does the wind diection compare?",COMPARE,WIND_DIRECTION,RAW,"[""Angara Khurd"", ""Thakurdi""]","[""tonight""]",SET,"[""Angara Khurd"", ""Thakurdi""]","[""tonight""]",train,v1,en
v1-tr-00083,0,Contrast the whicch way the wind blows in my vilage with Sura Sultanpura Panch Mahals for the next 7 days,COMPARE,WIND_DIRECTION,RAW,"[""my vilage"", ""Sura Sultanpura Panch Mahals""]","[""next 7 days""]",SET,"[""my vilage"", ""Sura Sultanpura Panch Mahals""]","[""next 7 days""]",train,v1,en
v1-tr-00084,0,Set an alert for freezing soil temperature in AP on Friday,ALERT,SOIL_TEMPERATURE,RAW,"[""AP""]","[""Friday""]",SET,"[""AP""]","[""Friday""]",train,v1,en
v1-tr-00085,0,Weakest whather in Baroun next week?,FORECAST,GENERAL,MIN,"[""Baroun""]","[""next week""]",SET,"[""Baroun""]","[""next week""]",train,v1,en
v1-tr-00086,0,Tell me if anything hpapens with weaher conditions in Gurrampalli this weekend,ALERT,GENERAL,RAW,"[""Gurrampalli""]","[""this weekend""]",SET,"[""Gurrampalli""]","[""this weekend""]",train,v1,en
v1-tr-00087,0,Conrtast the wind directon in my vilage with Tipamia Dighalia this evening,COMPARE,WIND_DIRECTION,RAW,"[""my vilage"", ""Tipamia Dighalia""]","[""this evening""]",SET,"[""my vilage"", ""Tipamia Dighalia""]","[""this evening""]",train,v1,en
v1-tr-00088,0,"tell diffrence wind directon sultanpura madhogarh jalaun hallaornagara, uttarpradesh tomorrow",COMPARE,WIND_DIRECTION,RAW,"[""sultanpura madhogarh jalaun"", ""hallaornagara, uttarpradesh""]","[""tomorrow""]",SET,"[""sultanpura madhogarh jalaun"", ""hallaornagara, uttarpradesh""]","[""tomorrow""]",train,v1,en
v1-tr-00089,0,"Overall thunderstorm in Mahalmirya Dongar, Pen from 10 AM to 11 pm",FORECAST,RAIN,SUM,"[""Mahalmirya Dongar, Pen""]","[""10 AM to 11 pm""]",SET,"[""Mahalmirya Dongar, Pen""]","[""10 AM to 11 pm""]",train,v1,en
v1-tr-00090,0,Bedarshirgur verses Khanuwia bdaal tommorow,COMPARE,CLOUD_COVER,RAW,"[""Bedarshirgur"", ""Khanuwia""]","[""tommorow""]",SET,"[""Bedarshirgur"", ""Khanuwia""]","[""tommorow""]",train,v1,en
v1-tr-00091,0,"Quick question, what is cloudiness around Kasipur tonight?",CURRENT,CLOUD_COVER,RAW,"[""Kasipur""]","[""tonight""]",SET,"[""Kasipur""]","[""tonight""]",train,v1,en
v1-tr-00092,0,set an alort for dew temperature in this area tmrw,ALERT,DEW_POINT,RAW,"[""this area""]","[""tmrw""]",SET,"[""this area""]","[""tmrw""]",train,v1,en
v1-tr-00093,0,Ping me about the soil temperature 10cm kindly,ALERT,SOIL_TEMPERATURE,RAW,[],[],SET,[],[],train,v1,en
v1-tr-00094,0,Set an alart for mitti ki nami in Chawa,ALERT,SOIL_MOISTURE,RAW,"[""Chawa""]",[],SET,"[""Chawa""]",[],train,v1,en
v1-tr-00095,0,Tell me if anything happens with the sunlight in Raiganj around 10:45 PM,ALERT,SUNSHINE,RAW,"[""Raiganj""]","[""10:45 PM""]",SET,"[""Raiganj""]","[""10:45 PM""]",train,v1,en
v1-tr-00096,0,"Compiar the maximum between Bandarchuan Alabur, Ballari next month",COMPARE,TEMPERATURE_MAX,RAW,"[""Bandarchuan"", ""Alabur, Ballari""]","[""next month""]",SET,"[""Bandarchuan"", ""Alabur, Ballari""]","[""next month""]",train,v1,en
v1-tr-00097,0,is it huumid in panasi rewa madhya pradesh on saturday?,FORECAST,HUMIDITY,RAW,"[""panasi rewa madhya pradesh""]","[""saturday""]",SET,"[""panasi rewa madhya pradesh""]","[""saturday""]",train,v1,en
v1-tr-00098,0,Contrasst high temp near by with Irumbedu next weekend,COMPARE,TEMPERATURE_MAX,RAW,"[""near by"", ""Irumbedu""]","[""next weekend""]",SET,"[""near by"", ""Irumbedu""]","[""next weekend""]",train,v1,en
v1-tr-00099,0,"For Bhodua, Jalesar and Lauhra both, what is the heat nxt week?",COMPARE,TEMPERATURE,RAW,"[""Bhodua, Jalesar"", ""Lauhra""]","[""nxt week""]",SET,"[""Bhodua, Jalesar"", ""Lauhra""]","[""nxt week""]",train,v1,en
v1-tr-00100,0,compare wind intensity around here with auranga bad this weekend,COMPARE,WIND_SPEED,RAW,"[""here"", ""auranga bad""]","[""this weekend""]",SET,"[""here"", ""auranga bad""]","[""this weekend""]",train,v1,en
v1-tr-00101,0,"Show me the rain pouability for Badarikilo, Puri Magur Jan Milik from 1 AM to 8 AM",COMPARE,RAIN,RAW,"[""Badarikilo, Puri"", ""Magur Jan Milik""]","[""1 AM to 8 AM""]",SET,"[""Badarikilo, Puri"", ""Magur Jan Milik""]","[""1 AM to 8 AM""]",train,v1,en
v1-tr-00102,0,tell me when humdity channges imaliya swaroop on tuesday,ALERT,HUMIDITY,RAW,"[""imaliya swaroop""]","[""tuesday""]",SET,"[""imaliya swaroop""]","[""tuesday""]",train,v1,en
v1-tr-00103,0,up with the current conditions in dharampur?,CURRENT,GENERAL,RAW,"[""dharampur""]",[],SET,"[""dharampur""]",[],train,v1,en
v1-tr-00104,0,is any current conditions advisory isused on wednesday urgent,ALERT,GENERAL,RAW,[],"[""wednesday""]",SET,[],"[""wednesday""]",train,v1,en
v1-tr-00105,0,Wich has more dew point temperture Gomundi or Algeria this weekend,COMPARE,DEW_POINT,RAW,"[""Gomundi"", ""Algeria""]","[""this weekend""]",SET,"[""Gomundi"", ""Algeria""]","[""this weekend""]",train,v1,en
v1-tr-00106,0,Can you keep an eye on the weather sitation in Holpur Jaunpur Uttarpradesh for the next 7 days?,ALERT,GENERAL,RAW,"[""Holpur Jaunpur Uttarpradesh""]","[""next 7 days""]",SET,"[""Holpur Jaunpur Uttarpradesh""]","[""next 7 days""]",train,v1,en
v1-tr-00107,0,"Contrast the mitti ki nami in Sukhwasi with Mamidipalle, Kottur day after tomorrow",COMPARE,SOIL_MOISTURE,RAW,"[""Sukhwasi"", ""Mamidipalle, Kottur""]","[""day after tomorrow""]",SET,"[""Sukhwasi"", ""Mamidipalle, Kottur""]","[""day after tomorrow""]",train,v1,en
v1-tr-00108,0,"compair the mausam bewteen nagapattinam and nebraska, united sates?!",COMPARE,GENERAL,RAW,"[""nagapattinam"", ""nebraska, united sates""]",[],SET,"[""nagapattinam"", ""nebraska, united sates""]",[],train,v1,en
v1-tr-00109,0,"Alert me if it rins in Mashaldaha, Maldah by 4 PM",ALERT,RAIN,RAW,"[""Mashaldaha, Maldah""]","[""4 PM""]",SET,"[""Mashaldaha, Maldah""]","[""4 PM""]",train,v1,en
v1-tr-00110,0,flag the moisture in the air in my vilage this afternoon,ALERT,HUMIDITY,RAW,"[""my vilage""]","[""this afternoon""]",SET,"[""my vilage""]","[""this afternoon""]",train,v1,en
v1-tr-00111,0,"Inorm me if os bindu bad in Tada, Potti Sriramulu Nellore",ALERT,DEW_POINT,RAW,"[""Tada, Potti Sriramulu Nellore""]",[],SET,"[""Tada, Potti Sriramulu Nellore""]",[],train,v1,en
v1-tr-00112,0,tel me cloudiness in my plot next week,FORECAST,CLOUD_COVER,RAW,"[""my plot""]","[""next week""]",SET,"[""my plot""]","[""next week""]",train,v1,en
v1-tr-00113,0,Warn me if heavy cloud cover is expected in London tomorrow,ALERT,CLOUD_COVER,RAW,"[""London""]","[""tomorrow""]",SET,"[""London""]","[""tomorrow""]",train,v1,en
v1-tr-00114,0,difference in hawa ki rafaar between samaria and ladi angan right now,COMPARE,WIND_SPEED,RAW,"[""samaria"", ""ladi angan""]","[""right now""]",SET,"[""samaria"", ""ladi angan""]","[""right now""]",train,v1,en
v1-tr-00115,0,Compare cloud coverage in Mohamad Urf Jhinwarheri vs Rengalpali,COMPARE,CLOUD_COVER,RAW,"[""Mohamad Urf Jhinwarheri"", ""Rengalpali""]",[],SET,"[""Mohamad Urf Jhinwarheri"", ""Rengalpali""]",[],train,v1,en
