text,weather_intent,action,aggregation,location,time
"Check the ground moisture for both Vyas Kheri and Bahunagar Urf Sirsa, Bahheri day after tomorow",SOIL_MOISTURE,COMPARE,RAW,"[""Vyas Kheri"", ""Bahunagar Urf Sirsa, Bahheri""]","[""day after tomorow""]"
Warn me about the how is the weather in my village now,CURRENT_CONDITIONS,ALERT,RAW,"[""my village""]","[""now""]"
"quick question, what is the soil moisture 40cm aroued gautambudhnagar, uttarpradesh this evening?",SOIL_MOISTURE,GET,RAW,"[""gautambudhnagar, uttarpradesh""]","[""this evening""]"
cmopare wnd direction around here with duggha today,WIND_DIRECTION,COMPARE,RAW,"[""here"", ""duggha""]","[""today""]"
alrt if wind speeed changes in badpal,WIND_SPEED,ALERT,RAW,"[""badpal""]",[]
Update me on the sunshine around 9 am,SUNSHINE,GET,RAW,[],"[""9 am""]"
What kind of lowest temp should i expect in Ladi Angan nxt week,TEMPERATURE_MIN,GET,RAW,"[""Ladi Angan""]","[""nxt week""]"
Tell me if anything happens with the weather outlook in Jhuratarai in the next 8 hours,FORECAST,ALERT,RAW,"[""Jhuratarai""]","[""next 8 hours""]"
Tell me if anything happens with the weather forecast in Dumurdiha East Singhbhum on Wednesday?,FORECAST,ALERT,RAW,"[""Dumurdiha East Singhbhum""]","[""Wednesday""]"
Set an alart for solar exposure in Adanbeda around 3:05 pm,SUNSHINE,ALERT,RAW,"[""Adanbeda""]","[""3:05 pm""]"
Is theere any cloudiness warning for Niranjan Chak right now??,CLOUD_COVER,ALERT,RAW,"[""Niranjan Chak""]","[""right now""]"
Flag the wind direction on Saturday,WIND_DIRECTION,ALERT,RAW,[],"[""Saturday""]"
"Thinking of visiting Sahajpuri, how is the rain probability there?",RAIN,GET,RAW,"[""Sahajpuri""]",[]
Is the peak temperature in Tupenga higher 8:30 am to 12:30 PM or midnight,TEMPERATURE_MAX,COMPARE,RAW,"[""Tupenga""]","[""8:30 am to 12:30 PM"", ""midnight""]"
Alert me if the temperature goes above 42 degrees in Hosahali,TEMPERATURE_MAX,ALERT,RAW,"[""Hosahali""]",[]
"Should i worry aboout the humdity in Gahhlian, Hamirpur last week?",HUMIDITY,ALERT,RAW,"[""Gahhlian, Hamirpur""]","[""last week""]"
"hey, can you cheeck the rain forecast for khamarpara?",RAIN,GET,RAW,"[""khamarpara""]",[]
"Qeck question, what is the long range forecast around Medakpalle?",FORECAST,GET,RAW,"[""Medakpalle""]",[]
on average what is the hours of sun in gali bhimvaaram today?,SUNSHINE,GET,AVG,"[""gali bhimvaaram""]","[""today""]"
Check the wind speeed in my vilage early morning,WIND_SPEED,GET,RAW,"[""my vilage""]","[""early morning""]"
"how does the overnight low aroind here compare with khatauli rural, muzaffarnagar on sunday?",TEMPERATURE_MIN,COMPARE,RAW,"[""here"", ""khatauli rural, muzaffarnagar""]","[""sunday""]"
Any warnings about sunlight hours in Rukhi next weekend?,SUNSHINE,ALERT,RAW,"[""Rukhi""]","[""next weekend""]"
whats up with the rain probability in ramarajupalem krishna andhra pradesh next week?,RAIN,GET,RAW,"[""ramarajupalem krishna andhra pradesh""]","[""next week""]"
Warn me about the ground temp around my area from 9:43 am to 1 PM,SOIL_TEMPERATURE,ALERT,RAW,"[""my area""]","[""9:43 am to 1 PM""]"
"Put the how hot around here against Guhalipada, Basta from 7:02 AM to 10 PM kindly",TEMPERATURE,COMPARE,RAW,"[""here"", ""Guhalipada, Basta""]","[""7:02 AM to 10 PM""]"
Tomorrow night dewpoint figures in my feild,DEW_POINT,GET,RAW,"[""my feild""]","[""Tomorrow night""]"
noitfiy me about the day high in pathra bandh on monday,TEMPERATURE_MAX,ALERT,RAW,"[""pathra bandh""]","[""monday""]"
"Any idea abotu the weather prediction in Lasoodlya Pata, Narsinghgarh for the next 3 days",FORECAST,GET,RAW,"[""Lasoodlya Pata, Narsinghgarh""]","[""next 3 days""]"
Tel me due poit nxt week,DEW_POINT,GET,RAW,[],"[""nxt week""]"
how is the coldest temperature in chadnarpur tommorow?,TEMPERATURE_MIN,GET,RAW,"[""chadnarpur""]","[""tommorow""]"
What is the weekly wather in Tola Kuhranda?,FORECAST,GET,RAW,"[""Tola Kuhranda""]",[]
"between pail and guinea-bissau, which one looks bettre for oernight temperature last week?",TEMPERATURE_MIN,COMPARE,RAW,"[""pail"", ""guinea-bissau""]","[""last week""]"
"Compare the weater situtaion in my farm with Govana, Jamnagar, Gujarat this afternoon",CURRENT_CONDITIONS,COMPARE,RAW,"[""my farm"", ""Govana, Jamnagar, Gujarat""]","[""this afternoon""]"
"Solar expousre in Sikkmi India, Chaura and Odha, Mainpur from 2 am to 7 AM pls",SUNSHINE,COMPARE,RAW,"[""Sikkmi India"", ""Chaura"", ""Odha, Mainpur""]","[""2 am to 7 AM""]"
"Comparre the gust sped in my vilage with Teegalavancha, West Godavari, Andhra Pradesh this week..",WIND_SPEED,COMPARE,RAW,"[""my vilage"", ""Teegalavancha, West Godavari, Andhra Pradesh""]","[""this week""]"
"How does the hours of sun in my village compare with Bandarchuan, Chatra, Jharkhand next month?",SUNSHINE,COMPARE,RAW,"[""my village"", ""Bandarchuan, Chatra, Jharkhand""]","[""next month""]"
flag the moisture in the soil tomorrow evening,SOIL_MOISTURE,ALERT,RAW,[],"[""tomorrow evening""]"
Weakest dew pont in Patandadar nxt week,DEW_POINT,GET,MIN,"[""Patandadar""]","[""nxt week""]"
i need the ground temperature reading for vanapuram at 4 am,SOIL_TEMPERATURE,GET,RAW,"[""vanapuram""]","[""4 am""]"
Let me know if the crurent conditions changes in Kotputli this morning,CURRENT_CONDITIONS,ALERT,RAW,"[""Kotputli""]","[""this morning""]"
"Warn me about the hawa ki disha in Mogolpatna, Odisha tomorrow",WIND_DIRECTION,ALERT,RAW,"[""Mogolpatna, Odisha""]","[""tomorrow""]"
Is any wind velocity adiisory issued for Mariahu this weekend?,WIND_SPEED,ALERT,RAW,"[""Mariahu""]","[""this weekend""]"
I need the dewpoint tempertue reading for Sitaalpur Kakrahta tomorow,DEW_POINT,GET,RAW,"[""Sitaalpur Kakrahta""]","[""tomorow""]"
warnings about badal in Turnl?,CLOUD_COVER,ALERT,RAW,"[""Turnl""]",[]
When is the prredictions highest in Dumurdiha East Singhbhum tomorow..,FORECAST,GET,MAX,"[""Dumurdiha East Singhbhum""]","[""tomorow""]"
Weakest moisure level in Sadar day after tomorrow,HUMIDITY,GET,MIN,"[""Sadar""]","[""day after tomorrow""]"
"Is Zinner, Washi or Chiluveru the safer bet for weathher oetlook tonight?",FORECAST,COMPARE,RAW,"[""Zinner, Washi"", ""Chiluveru""]","[""tonight""]"
"budhel, gujarat versus tada due point tomorrow evening",DEW_POINT,COMPARE,RAW,"[""budhel, gujarat"", ""tada""]","[""tomorrow evening""]"
Diffrence in direction wind between Jobla Busudih Teegalavancha in 30 minutes,WIND_DIRECTION,COMPARE,RAW,"[""Jobla Busudih"", ""Teegalavancha""]","[""30 minutes""]"
reminder for hawa ki dsaa gospurnatara unnao uttarpradesh during the sowing week,WIND_DIRECTION,ALERT,RAW,"[""gospurnatara unnao uttarpradesh""]","[""sowing week""]"
Flag the ouside conditions for Chakarapalle 2day,CURRENT_CONDITIONS,ALERT,RAW,"[""Chakarapalle""]","[""2day""]"
"Any warnings about ground temp in Zaptiveerappaguda, Mirialguda, Nalgonda yesterday",SOIL_TEMPERATURE,ALERT,RAW,"[""Zaptiveerappaguda, Mirialguda, Nalgonda""]","[""yesterday""]"
"Tell me when forcast changes Iowa, United States",FORECAST,ALERT,RAW,"[""Iowa, United States""]",[]
when will the woich way the wind blows start dropping in bulaki tola from 10 am to 11 pm?,WIND_DIRECTION,GET,TREND,"[""bulaki tola""]","[""10 am to 11 pm""]"
"Which is better for ground moistuure, Bakkeshwar, West Bengal or Rajasthan?",SOIL_MOISTURE,COMPARE,RAW,"[""Bakkeshwar, West Bengal"", ""Rajasthan""]",[]
"Compare dew point Sugur, Tiptur, Tumakuru, Karnataka Bhokraha, Darbhanga, Bihar tommorow",DEW_POINT,COMPARE,RAW,"[""Sugur, Tiptur, Tumakuru, Karnataka"", ""Bhokraha, Darbhanga, Bihar""]","[""tommorow""]"
"Notify me abotu the sunlight in Sarsand, Hardoi",SUNSHINE,ALERT,RAW,"[""Sarsand, Hardoi""]",[]
compaare mandaria and mithwal buzurg siddharthnagar uttarpradesh wind,WIND_SPEED,COMPARE,RAW,"[""mandaria"", ""mithwal buzurg siddharthnagar uttarpradesh""]",[]
let me know if the soil heat level changes in niranjan chak tomorow,SOIL_TEMPERATURE,ALERT,RAW,"[""niranjan chak""]","[""tomorow""]"
Tell when showers chnages Salai tomorrow evening,RAIN,ALERT,RAW,"[""Salai""]","[""tomorrow evening""]"
Highest humididty Kawadipalle tomorrow evening,HUMIDITY,GET,MAX,"[""Kawadipalle""]","[""tomorrow evening""]"
"Compare the light rain between Mandaria and Bagbahra, Chhatisgarh tomorrow night",RAIN,COMPARE,RAW,"[""Mandaria"", ""Bagbahra, Chhatisgarh""]","[""tomorrow night""]"
Is theere any strong wind waarning tommorow?,WIND_SPEED,ALERT,RAW,[],"[""tommorow""]"
can you keep an eye on the humidty in kheruwa today?,HUMIDITY,ALERT,RAW,"[""kheruwa""]","[""today""]"
"We mieht go to Angara Khurd or Thakurdi tonight, how does the wind diection compare?",WIND_DIRECTION,COMPARE,RAW,"[""Angara Khurd"", ""Thakurdi""]","[""tonight""]"
Contrast the whicch way the wind blows in my vilage with Sura Sultanpura Panch Mahals for the next 7 days,WIND_DIRECTION,COMPARE,RAW,"[""my vilage"", ""Sura Sultanpura Panch Mahals""]","[""next 7 days""]"
Set an alert for freezing soil temperature in AP on Friday,SOIL_TEMPERATURE,ALERT,RAW,"[""AP""]","[""Friday""]"
Weakest whather in Baroun next week?,CURRENT_CONDITIONS,GET,MIN,"[""Baroun""]","[""next week""]"
Tell me if anything hpapens with weaher conditions in Gurrampalli this weekend,CURRENT_CONDITIONS,ALERT,RAW,"[""Gurrampalli""]","[""this weekend""]"
Conrtast the wind directon in my vilage with Tipamia Dighalia this evening,WIND_DIRECTION,COMPARE,RAW,"[""my vilage"", ""Tipamia Dighalia""]","[""this evening""]"
"tell diffrence wind directon sultanpura madhogarh jalaun hallaornagara, uttarpradesh tomorrow",WIND_DIRECTION,COMPARE,RAW,"[""sultanpura madhogarh jalaun"", ""hallaornagara, uttarpradesh""]","[""tomorrow""]"
"Overall thunderstorm in Mahalmirya Dongar, Pen from 10 AM to 11 pm",RAIN,GET,SUM,"[""Mahalmirya Dongar, Pen""]","[""10 AM to 11 pm""]"
Bedarshirgur verses Khanuwia bdaal tommorow,CLOUD_COVER,COMPARE,RAW,"[""Bedarshirgur"", ""Khanuwia""]","[""tommorow""]"
"Quick question, what is cloudiness around Kasipur tonight?",CLOUD_COVER,GET,RAW,"[""Kasipur""]","[""tonight""]"
set an alort for dew temperature in this area tmrw,DEW_POINT,ALERT,RAW,"[""this area""]","[""tmrw""]"
Ping me about the soil temperature 10cm kindly,SOIL_TEMPERATURE,ALERT,RAW,[],[]
Set an alart for mitti ki nami in Chawa,SOIL_MOISTURE,ALERT,RAW,"[""Chawa""]",[]
Tell me if anything happens with the sunlight in Raiganj around 10:45 PM,SUNSHINE,ALERT,RAW,"[""Raiganj""]","[""10:45 PM""]"
"Compiar the maximum between Bandarchuan Alabur, Ballari next month",TEMPERATURE_MAX,COMPARE,RAW,"[""Bandarchuan"", ""Alabur, Ballari""]","[""next month""]"
is it huumid in panasi rewa madhya pradesh on saturday?,HUMIDITY,GET,RAW,"[""panasi rewa madhya pradesh""]","[""saturday""]"
Contrasst high temp near by with Irumbedu next weekend,TEMPERATURE_MAX,COMPARE,RAW,"[""near by"", ""Irumbedu""]","[""next weekend""]"
"For Bhodua, Jalesar and Lauhra both, what is the heat nxt week?",TEMPERATURE,COMPARE,RAW,"[""Bhodua, Jalesar"", ""Lauhra""]","[""nxt week""]"
compare wind intensity around here with auranga bad this weekend,WIND_SPEED,COMPARE,RAW,"[""here"", ""auranga bad""]","[""this weekend""]"
"Show me the rain pouability for Badarikilo, Puri Magur Jan Milik from 1 AM to 8 AM",RAIN,COMPARE,RAW,"[""Badarikilo, Puri"", ""Magur Jan Milik""]","[""1 AM to 8 AM""]"
tell me when humdity channges imaliya swaroop on tuesday,HUMIDITY,ALERT,RAW,"[""imaliya swaroop""]","[""tuesday""]"
up with the current conditions in dharampur?,CURRENT_CONDITIONS,GET,RAW,"[""dharampur""]",[]
is any current conditions advisory isused on wednesday urgent,CURRENT_CONDITIONS,ALERT,RAW,[],"[""wednesday""]"
Wich has more dew point temperture Gomundi or Algeria this weekend,DEW_POINT,COMPARE,RAW,"[""Gomundi"", ""Algeria""]","[""this weekend""]"
Can you keep an eye on the weather sitation in Holpur Jaunpur Uttarpradesh for the next 7 days?,CURRENT_CONDITIONS,ALERT,RAW,"[""Holpur Jaunpur Uttarpradesh""]","[""next 7 days""]"
"Contrast the mitti ki nami in Sukhwasi with Mamidipalle, Kottur day after tomorrow",SOIL_MOISTURE,COMPARE,RAW,"[""Sukhwasi"", ""Mamidipalle, Kottur""]","[""day after tomorrow""]"
"compair the mausam bewteen nagapattinam and nebraska, united sates?!",CURRENT_CONDITIONS,COMPARE,RAW,"[""nagapattinam"", ""nebraska, united sates""]",[]
"Alert me if it rins in Mashaldaha, Maldah by 4 PM",RAIN,ALERT,RAW,"[""Mashaldaha, Maldah""]","[""4 PM""]"
flag the moisture in the air in my vilage this afternoon,HUMIDITY,ALERT,RAW,"[""my vilage""]","[""this afternoon""]"
"Inorm me if os bindu bad in Tada, Potti Sriramulu Nellore",DEW_POINT,ALERT,RAW,"[""Tada, Potti Sriramulu Nellore""]",[]
tel me cloudiness in my plot next week,CLOUD_COVER,GET,RAW,"[""my plot""]","[""next week""]"
Warn me if heavy cloud cover is expected in London tomorrow,CLOUD_COVER,ALERT,RAW,"[""London""]","[""tomorrow""]"
difference in hawa ki rafaar between samaria and ladi angan right now,WIND_SPEED,COMPARE,RAW,"[""samaria"", ""ladi angan""]","[""right now""]"
Compare cloud coverage in Mohamad Urf Jhinwarheri vs Rengalpali,CLOUD_COVER,COMPARE,RAW,"[""Mohamad Urf Jhinwarheri"", ""Rengalpali""]",[]
"Which has higheer coludy, Adanbeda or Aeranga Bad for the next 7 days?",CLOUD_COVER,COMPARE,RAW,"[""Adanbeda"", ""Aeranga Bad""]","[""next 7 days""]"
Tell me the night temperature tmrw,TEMPERATURE_MIN,GET,RAW,[],"[""tmrw""]"
Rempi vs Purna dew timperature,DEW_POINT,COMPARE,RAW,"[""Rempi"", ""Purna""]",[]
Contrat the wnd direction around here with Chhailai Jagir Ashoknagar in 60 minutes,WIND_DIRECTION,COMPARE,RAW,"[""here"", ""Chhailai Jagir Ashoknagar""]","[""60 minutes""]"
"Minache Kh. v/s Damodarpur, Odisha sun",SUNSHINE,COMPARE,RAW,"[""Minache Kh."", ""Damodarpur, Odisha""]",[]
Is the mitti ka taapmaan in Rattowal different 90 minutes and 10 AM to 11 am,SOIL_TEMPERATURE,COMPARE,RAW,"[""Rattowal""]","[""90 minutes"", ""10 AM to 11 am""]"
Tell diffrence vaatavaranam Sheorajpur Hiramandalam for the next 7 days,CURRENT_CONDITIONS,COMPARE,RAW,"[""Sheorajpur"", ""Hiramandalam""]","[""next 7 days""]"
Warn me about the air temperature in Kalibel Dangs..,TEMPERATURE,ALERT,RAW,"[""Kalibel Dangs""]",[]
is the dew temperature in guhallipada different 9 pm and 4:15 pm?,DEW_POINT,COMPARE,RAW,"[""guhallipada""]","[""9 pm"", ""4:15 pm""]"
how windy next month,WIND_SPEED,GET,RAW,[],"[""next month""]"
Wich has more soil temprature at 10cm Laram Jangi Pora or Idappadi today,SOIL_TEMPERATURE,COMPARE,RAW,"[""Laram Jangi Pora"", ""Idappadi""]","[""today""]"
"How does the soil moisture in this area comapre with Farhalouki, Ballia, Uttarpradesh at 1:45 AM?",SOIL_MOISTURE,COMPARE,RAW,"[""this area"", ""Farhalouki, Ballia, Uttarpradesh""]","[""1:45 AM""]"
Typical coldest temperature in Londa last week,TEMPERATURE_MIN,GET,AVG,"[""Londa""]","[""last week""]"
Is any ground temperature advisory issued for Red Wana by 4 am sir,SOIL_TEMPERATURE,ALERT,RAW,"[""Red Wana""]","[""4 am""]"
forrcast in my vilage this evening pls,FORECAST,GET,RAW,"[""my vilage""]","[""this evening""]"
"Is the wind blws from in Raksani, Bihar different 1 AM to 8 AM and 30 minutes?",WIND_DIRECTION,COMPARE,RAW,"[""Raksani, Bihar""]","[""1 AM to 8 AM"", ""30 minutes""]"
Copmre weatehr in Mangalvedhe Solapur Maharashtra vs Tada tomorow?!,CURRENT_CONDITIONS,COMPARE,RAW,"[""Mangalvedhe Solapur Maharashtra"", ""Tada""]","[""tomorow""]"
Put a reminder for cloudness in Adduruvalasa on Monday,CLOUD_COVER,ALERT,RAW,"[""Adduruvalasa""]","[""Monday""]"
"Contrast the maximum temprature in my village with Bedarshirgur, Uttara Kannada by midnight",TEMPERATURE_MAX,COMPARE,RAW,"[""my village"", ""Bedarshirgur, Uttara Kannada""]","[""midnight""]"
compre maisam in daru vs madarpur this week,CURRENT_CONDITIONS,COMPARE,RAW,"[""daru"", ""madarpur""]","[""this week""]"
Any idea about the wind in Bageshwar this morning,WIND_SPEED,GET,RAW,"[""Bageshwar""]","[""this morning""]"
Warn me about the tempearture in my field?!,TEMPERATURE,ALERT,RAW,"[""my field""]",[]
"quickly avg max temperature lasoodlya pata, narsinghgarh by 11 am",TEMPERATURE_MAX,GET,AVG,"[""lasoodlya pata, narsinghgarh""]","[""11 am""]"
Can you keep an eye on the what's the weather like in Nadri Kalol from 8:30 am to 12:30 PM,CURRENT_CONDITIONS,ALERT,RAW,"[""Nadri Kalol""]","[""8:30 am to 12:30 PM""]"
Put the earth teperature of Singha against Shipur this morning,SOIL_TEMPERATURE,COMPARE,RAW,"[""Singha"", ""Shipur""]","[""this morning""]"
Kinldy share the hottest for Village Point Boundary in 82 minutes,TEMPERATURE_MAX,GET,RAW,"[""Village Point Boundary""]","[""82 minutes""]"
"Tell when tempatuure changes Raksani, Bihar on Wednesday",TEMPERATURE,ALERT,RAW,"[""Raksani, Bihar""]","[""Wednesday""]"
"Wind speed Bagbahra, Chhatisgarh or Raksani, Bihar",WIND_SPEED,COMPARE,RAW,"[""Bagbahra, Chhatisgarh"", ""Raksani, Bihar""]",[]
Let me know if the clods changes in Kalayarkovil tmrw,CLOUD_COVER,ALERT,RAW,"[""Kalayarkovil""]","[""tmrw""]"
Wat is sunlight hours around my area tomorow,SUNSHINE,GET,RAW,"[""my area""]","[""tomorow""]"
"Send me an alet if the huumididty is unusual in Kuttadi, Kallakkurichi 2day",HUMIDITY,ALERT,RAW,"[""Kuttadi, Kallakkurichi""]","[""2day""]"
i want to be told if the dewpoint turnns bad in banegaon for the next 3 days,DEW_POINT,ALERT,RAW,"[""banegaon""]","[""next 3 days""]"
Kindly share the maximum temperature for Khbupura from 4:15 am to 3:30 pm,TEMPERATURE_MAX,GET,RAW,"[""Khbupura""]","[""4:15 am to 3:30 pm""]"
coompre soil temp in guhalipada vs bedarshirgur 2day,SOIL_TEMPERATURE,COMPARE,RAW,"[""guhalipada"", ""bedarshirgur""]","[""2day""]"
Comapre the maximum in this area with Sadullahpur on Friday??,TEMPERATURE_MAX,COMPARE,RAW,"[""this area"", ""Sadullahpur""]","[""Friday""]"
compare the cloud percent around my area with jaitapur on sunday,CLOUD_COVER,COMPARE,RAW,"[""my area"", ""jaitapur""]","[""sunday""]"
Can you check whether Kiribera will be beter than Kohima for daily forecast by midnight?,FORECAST,COMPARE,RAW,"[""Kiribera"", ""Kohima""]","[""midnight""]"
"Any idea what soil tmprature does in Nutangram, Burdwan tmrw?",SOIL_TEMPERATURE,GET,RAW,"[""Nutangram, Burdwan""]","[""tmrw""]"
idea about the fuure weather later today?,FORECAST,GET,RAW,[],"[""later today""]"
"between bajampur and sewai kalan, whicch one looks batter for weather forecast day after tomorow?",FORECAST,COMPARE,RAW,"[""bajampur"", ""sewai kalan""]","[""day after tomorow""]"
Vaatavaranam of Kaapeta please day after tomorow,CURRENT_CONDITIONS,GET,RAW,"[""Kaapeta""]","[""day after tomorow""]"
Plz alert wind bearing Kedru Pur day after tomorow,WIND_DIRECTION,ALERT,RAW,"[""Kedru Pur""]","[""day after tomorow""]"
Warn me abot the weathr now in Burundi tmrw,CURRENT_CONDITIONS,ALERT,RAW,"[""Burundi""]","[""tmrw""]"
tell me if anything happens with the peak temperature in parkha muhura at 10:30 am,TEMPERATURE_MAX,ALERT,RAW,"[""parkha muhura""]","[""10:30 am""]"
Set an alet for dewpoint this weekend,DEW_POINT,ALERT,RAW,[],"[""this weekend""]"
"Which is btter for outside weather, Meghalaya, India or Nibheri Guna?",CURRENT_CONDITIONS,COMPARE,RAW,"[""Meghalaya, India"", ""Nibheri Guna""]",[]
how does the clods in my village compare with ganga paoam by 3 pm,CLOUD_COVER,COMPARE,RAW,"[""my village"", ""ganga paoam""]","[""3 pm""]"
Compair the rian between Salai and Mashaldaha nxt week,RAIN,COMPARE,RAW,"[""Salai"", ""Mashaldaha""]","[""nxt week""]"
Set an aletr for nighttime low,TEMPERATURE_MIN,ALERT,RAW,[],[]
is any strong wind advisoory issued?!,WIND_SPEED,ALERT,RAW,[],[]
"Let me know if tehre is a cold alert in Jummahal Pt Ii, Assam this afternoon",TEMPERATURE,ALERT,RAW,"[""Jummahal Pt Ii, Assam""]","[""this afternoon""]"
Can you chcek whether Madarpur will be cooler than Sugur for max temp this week?,TEMPERATURE_MAX,COMPARE,RAW,"[""Madarpur"", ""Sugur""]","[""this week""]"
"Between Jharkhand, India and Antari, Shahdol, whih one looks better for dewpoit rn?",DEW_POINT,COMPARE,RAW,"[""Jharkhand, India"", ""Antari, Shahdol""]","[""rn""]"
Ping me about the wind bearing aroued 3:34 am,WIND_DIRECTION,ALERT,RAW,[],"[""3:34 am""]"
"we might go to thirumalayapalem, telangana or khabalu f v, north lakhimpur from 1 am to 8 am, how does the wind velocity compare?",WIND_SPEED,COMPARE,RAW,"[""thirumalayapalem, telangana"", ""khabalu f v, north lakhimpur""]","[""1 am to 8 am""]"
how does the showers in my village compare with chick-angrolli for the next 7 days?,RAIN,COMPARE,RAW,"[""my village"", ""chick-angrolli""]","[""next 7 days""]"
"Any warnings about sun duration in Betul, Mdhya Pradesh around 4:15 PM?",SUNSHINE,ALERT,RAW,"[""Betul, Mdhya Pradesh""]","[""4:15 PM""]"
Whts wind comes from in Kherli Chandrawat 2nite,WIND_DIRECTION,GET,RAW,"[""Kherli Chandrawat""]","[""2nite""]"
Contrast the hawa ki raftar in Voyalanallur with Parbhani at 10:14 PM,WIND_SPEED,COMPARE,RAW,"[""Voyalanallur"", ""Parbhani""]","[""10:14 PM""]"
"Check the vaana in Bageshwar, Uttarakhand 2day",RAIN,GET,RAW,"[""Bageshwar, Uttarakhand""]","[""2day""]"
"Difference lowest temperature today between Indloor, Nalgonda and Kundra Sundargarh at 4 AM",TEMPERATURE_MIN,COMPARE,RAW,"[""Indloor, Nalgonda"", ""Kundra Sundargarh""]","[""4 AM""]"
"compare the weather status between chikhli, seoni, madhya pradesh and tikamgarh rn",CURRENT_CONDITIONS,COMPARE,RAW,"[""chikhli, seoni, madhya pradesh"", ""tikamgarh""]","[""rn""]"
on average what is the moisture in the air in mahulani on sunday?,HUMIDITY,GET,AVG,"[""mahulani""]","[""sunday""]"
Whats the weater for next days like over in Kollur at 9:30 pm?,FORECAST,GET,RAW,"[""Kollur""]","[""9:30 pm""]"
how much mitti ka taapmaan in shi rajpur kotdwar pauri garhwal by 4:30 am?,SOIL_TEMPERATURE,GET,RAW,"[""shi rajpur kotdwar pauri garhwal""]","[""4:30 am""]"
compare the wind speeed nearby with daramli for the next 3 days,WIND_SPEED,COMPARE,RAW,"[""nearby"", ""daramli""]","[""next 3 days""]"
Tell me the wind speed forcast in my field by 4 am,WIND_SPEED,GET,RAW,"[""my field""]","[""4 am""]"
warn me about the extended forecast in karan patti tommorow,FORECAST,ALERT,RAW,"[""karan patti""]","[""tommorow""]"
"pls nootify me about the highest temperature in ama tola, abmagarh chowki, raj nandgaon",TEMPERATURE_MAX,ALERT,RAW,"[""ama tola, abmagarh chowki, raj nandgaon""]",[]
How is the soil wtaer in Nowgong Madhya Pradehs,SOIL_MOISTURE,GET,RAW,"[""Nowgong Madhya Pradehs""]",[]
Loweat which way the wind blows in Gorasa Odisha around 8:45 AM,WIND_DIRECTION,GET,MIN,"[""Gorasa Odisha""]","[""8:45 AM""]"
"Whats up with the week ahead forcast in Pura, Chandauli, Uttarpradesh on Wednesday bro",FORECAST,GET,RAW,"[""Pura, Chandauli, Uttarpradesh""]","[""Wednesday""]"
Wiats the rain forecast looking like in Nagapattinam at 5 PM?,RAIN,GET,RAW,"[""Nagapattinam""]","[""5 PM""]"
