text,weather_intent,action,location,time,pred_weather_intent,pred_action,pred_location,pred_time,missed,split
Tendumuda or Jmawa Ramgarh bettre tempperature now tomorow?,TEMPERATURE,COMPARE,"['Tendumuda', 'Jmawa Ramgarh']",['tomorow'],TEMPERATURE,COMPARE,"['Tendumuda', 'Jmawa Ramgarh']","['now', 'tomorow']",time,test
kasapeta foorcast,FORECAST,GET,['kasapeta'],[],FORECAST,GET,[],[],location,test
"tell dffrence moisture in field syaat, utarakhand bijaynagar, ajmer by 7:20 am",SOIL_MOISTURE,COMPARE,"['syaat, utarakhand', 'bijaynagar, ajmer']",['7:20 am'],SOIL_MOISTURE,COMPARE,"['utarakhand bijaynagar, ajmer']",['7:20 am'],location,test
"Diection of wind Devapar, Santkabirnagar or Mogolpatna",WIND_DIRECTION,COMPARE,"['Devapar, Santkabirnagar', 'Mogolpatna']",[],WIND_DIRECTION,COMPARE,"['Devapar', 'Santkabirnagar', 'Mogolpatna']",[],location,test
give future weather karan patti this morning,FORECAST,GET,['karan patti'],['this morning'],FORECAST,GET,"['karan', 'patti']",['this morning'],location,test
Is any soil moisture at 10 m advisory isude by 1 am?,SOIL_MOISTURE,ALERT,[],['1 am'],SOIL_MOISTURE,ALERT,['isude'],['1 am'],location,test
comape degrees sabesar firozpur for the next 3 days..,TEMPERATURE,COMPARE,"['sabesar', 'firozpur']",['next 3 days'],TEMPERATURE,COMPARE,['firozpur'],['next 3 days'],location,test
Daily forecast gap between Bhaliaiha Badadunguripali tonight,FORECAST,COMPARE,"['Bhaliaiha', 'Badadunguripali']",['tonight'],FORECAST,COMPARE,['Bhaliaiha Badadunguripali'],['tonight'],location,test
"how much temperautre in bari, ramgarh shekhawati, sikar, rajasthan on tuesday?",TEMPERATURE,GET,"['bari, ramgarh shekhawati, sikar, rajasthan']",['tuesday'],TEMPERATURE_MIN,GET,"['bari, ramgarh shekhawati, sikar, rajasthan']",['tuesday'],weather_intent,test
Susnhien Ghiwari vs Kendua Purba Medinipur West Bengal day after tomorrow,SUNSHINE,COMPARE,"['Ghiwari', 'Kendua Purba Medinipur West Bengal']",['day after tomorrow'],SUNSHINE,COMPARE,"['Susnhien Ghiwari', 'Kendua Purba Medinipur West Bengal']",['day after tomorrow'],location,test
"plz alert outlook parkha mahura, rajasthan",FORECAST,ALERT,"['parkha mahura, rajasthan']",[],FORECAST,ALERT,"['parkha', 'mahura, rajasthan']",[],location,test
Rn outlook figuies near by,FORECAST,GET,['near by'],['Rn'],FORECAST,GET,['near by'],[],time,test
How does the weekly weather in Jakhoda 7 pm to 9:30 PM copare to tomorow?,FORECAST,COMPARE,['Jakhoda'],"['7 pm to 9:30 PM', 'tomorow']",FORECAST,COMPARE,['Jakhoda'],"['7 pm to 9:30 PM', 'to', 'tomorow']",time,test
Any idea the soil moisture at 10 m?,SOIL_MOISTURE,GET,[],[],SOIL_MOISTURE,GET,[],['10'],time,test
Warn me about the maximm temprature in my field for the next 7 days,TEMPERATURE_MAX,ALERT,['my field'],['next 7 days'],TEMPERATURE,ALERT,['my field'],['next 7 days'],weather_intent,test
Tell diffrence wind bearing Gerai Ki Guwari Rajasthan Jukhia at 7:15 PM,WIND_DIRECTION,COMPARE,"['Gerai Ki Guwari Rajasthan', 'Jukhia']",['7:15 PM'],WIND_DIRECTION,COMPARE,['Gerai Ki Guwari Rajasthan Jukhia'],['7:15 PM'],location,test
plz Senduras v/s Devapar wind rate this week,WIND_SPEED,COMPARE,"['Senduras', 'Devapar']",['this week'],WIND_SPEED,GET,"['Senduras', 'Devapar']",['this week'],action,test
need hiohest temp for gangada buzurg last week,TEMPERATURE_MAX,GET,['gangada buzurg'],['last week'],TEMPERATURE_MIN,GET,['gangada buzurg'],['last week'],weather_intent,test
Hassenpur verses Sabesar conditions right now,CURRENT_CONDITIONS,COMPARE,"['Hassenpur', 'Sabesar']",[],CURRENT_CONDITIONS,COMPARE,"['Hassenpur', 'Sabesar']",['right now'],time,test
"Show me the cloudiness in Duliakhal Karaib, Karimganj, Assam in 15 minutes",CLOUD_COVER,GET,"['Duliakhal Karaib, Karimganj, Assam']",['15 minutes'],CLOUD_COVER,COMPARE,"['Duliakhal Karaib, Karimganj, Assam']",['15 minutes'],action,test
Is it widy in Panasi?,WIND_SPEED,GET,['Panasi'],[],RAIN,GET,['Panasi'],[],weather_intent,test
"Tell diffrenae humidity peercentage Sarsand Badhaiya, Hanumana by 4:30 AM",HUMIDITY,COMPARE,"['Sarsand', 'Badhaiya, Hanumana']",['4:30 AM'],HUMIDITY,COMPARE,"['Sarsand Badhaiya, Hanumana']",['4:30 AM'],location,test
"ramban, jammu and kashmir 2nite max tepreture?",TEMPERATURE_MAX,GET,"['ramban, jammu and kashmir']",['2nite'],TEMPERATURE_MAX,COMPARE,"['ramban, jammu', 'kashmir']",['2nite'],"action,location",test
how does the dew in kulerbahali later today cmopare to day after tomorow quickly,DEW_POINT,COMPARE,['kulerbahali'],"['later today', 'day after tomorow']",DEW_POINT,COMPARE,['kulerbahali'],"['later', 'day after tomorow']",time,test
Do you have the budal data for Sadra by 4:50 PM?,CLOUD_COVER,GET,['Sadra'],['4:50 PM'],FORECAST,GET,['Sadra'],['4:50 PM'],weather_intent,test
"ceck the how cold for both ghupti - and naysatra, bongaigaon on monday",TEMPERATURE,COMPARE,"['ghupti -', 'naysatra, bongaigaon']",['monday'],TEMPERATURE,COMPARE,"['-', 'naysatra, bongaigaon']",['monday'],location,test
", compare the dew point temp in betjharan, sambalpur, odisha uttarpradesh",DEW_POINT,COMPARE,"['betjharan, sambalpur, odisha', 'uttarpradesh']",[],DEW_POINT,COMPARE,"['betjharan, sambalpur, odisha uttarpradesh']",[],location,test
upcoming weather panposh in 30 minutes pls,FORECAST,GET,['panposh'],['30 minutes'],FORECAST,GET,[],['30 minutes'],location,test
parkha mahura v/s navsari clod density in the next 4 hours?!,CLOUD_COVER,COMPARE,"['parkha mahura', 'navsari']",['next 4 hours'],CLOUD_COVER,COMPARE,"['parkha', 'mahura', 'navsari']",['next 4 hours'],location,test
"For Khabalu F V and Reechhoti both, what is the maximum temprature later today",TEMPERATURE_MAX,COMPARE,"['Khabalu F V', 'Reechhoti']",['later today'],TEMPERATURE_MAX,COMPARE,"['Khabalu F V', 'Reechhoti']","['later', 'today']",time,test
kthur tiruppattur ka mitti ka taapmaan 2nite,SOIL_TEMPERATURE,GET,['kthur tiruppattur'],['2nite'],SOIL_TEMPERATURE,GET,['tiruppattur'],['2nite'],location,test
kindly how does the weather prdiction in rempi right now compare to rn?,FORECAST,COMPARE,['rempi'],"['right now', 'rn']",CURRENT_CONDITIONS,COMPARE,['rempi'],"['right', 'rn']","weather_intent,time",test
air seped pathakpur during the sowing week pls,WIND_SPEED,GET,['pathakpur'],['sowing week'],HUMIDITY,GET,['pathakpur'],['sowing week'],weather_intent,test
"compare sun hours pogalur, vellore boocha gara around 1 am",SUNSHINE,COMPARE,"['pogalur, vellore', 'boocha gara']",['1 am'],SUNSHINE,COMPARE,"['pogalur, vellore boocha gara']",['1 am'],location,test
tadwai vs sankar saraiya degees,TEMPERATURE,COMPARE,"['tadwai', 'sankar saraiya']",[],CURRENT_CONDITIONS,COMPARE,"['tadwai', 'sankar saraiya']",[],weather_intent,test
tell diiffrence dew beradangi chanchal mldah santkabirnagar tommorow,DEW_POINT,COMPARE,"['beradangi chanchal mldah', 'santkabirnagar']",['tommorow'],DEW_POINT,COMPARE,"['beradangi', 'chanchal mldah', 'santkabirnagar']",['tommorow'],location,test
"Which is better for overacst, Coimbatore or Pahrauli Uttarpradesh",CLOUD_COVER,COMPARE,"['Coimbatore', 'Pahrauli Uttarpradesh']",[],CLOUD_COVER,COMPARE,"['overacst, Coimbatore', 'Pahrauli Uttarpradesh']",[],location,test
Can you tell me the temperture in Saran Nani Kachchh Gujarat from 7:02 AM to 10 PM,TEMPERATURE,GET,['Saran Nani Kachchh Gujarat'],['7:02 AM to 10 PM'],SOIL_TEMPERATURE,GET,['Saran Nani Kachchh Gujarat'],['7:02 AM to 10 PM'],weather_intent,test
Tell dfifrence humidity Shi Rajpur Kotdwar Pauri Garhwal Hinauti Chakia nxt week,HUMIDITY,COMPARE,"['Shi Rajpur Kotdwar Pauri Garhwal', 'Hinauti Chakia']",['nxt week'],HUMIDITY,COMPARE,['Shi Rajpur Kotdwar Pauri Garhwal Hinauti Chakia'],['nxt week'],location,test
compaare the eartth temperature in merakamudiidam between 2nite next 6 hours,SOIL_TEMPERATURE,COMPARE,['merakamudiidam'],"['2nite', 'next 6 hours']",TEMPERATURE,COMPARE,['merakamudiidam'],"['2nite', 'next 6 hours']",weather_intent,test
Oultook details,FORECAST,GET,[],[],WIND_SPEED,GET,[],[],weather_intent,test
dominica verses kendua cloud percentage tomorrow evening,CLOUD_COVER,COMPARE,"['dominica', 'kendua']",['tomorrow evening'],CLOUD_COVER,COMPARE,['kendua'],['tomorrow evening'],location,test
"which is better for light rain, barbdaos or devapar, santkabirnagar?",RAIN,COMPARE,"['barbdaos', 'devapar, santkabirnagar']",[],RAIN,COMPARE,"['barbdaos', 'devapar']",['santkabirnagar'],"location,time",test
Notify me about the lowest temperautre today in Turaon Patti,TEMPERATURE_MIN,ALERT,['Turaon Patti'],[],TEMPERATURE_MIN,ALERT,['Turaon Patti'],['today'],time,test
Compare the peak temperatuie nearby with Porbandar..,TEMPERATURE_MAX,COMPARE,"['nearby', 'Porbandar']",[],TEMPERATURE_MAX,COMPARE,"['nearby', 'Porbandar.']",[],location,test
bari dewpoint day after tomorow,DEW_POINT,GET,['bari'],['day after tomorow'],DEW_POINT,GET,[],['day after tomorow'],location,test
khark lizer vs awhane bk. sunsinne hours?,SUNSHINE,COMPARE,"['khark lizer', 'awhane bk.']",[],SUNSHINE,COMPARE,"['khark lizer', 'awhane bk.']",['hours'],time,test
pls matka viran jansath muzaffarnagar next month max temp?,TEMPERATURE_MAX,GET,['matka viran jansath muzaffarnagar'],['next month'],TEMPERATURE_MAX,COMPARE,['matka viran jansath muzaffarnagar'],['next month'],action,test
Rn temperature of soil figures for Khamawada Khanpur Jhalawar Rajasthan,SOIL_TEMPERATURE,GET,['Khamawada Khanpur Jhalawar Rajasthan'],['Rn'],SOIL_TEMPERATURE,GET,['Khamawada Khanpur Jhalawar Rajasthan'],[],time,test
"want to know rain awadah khas, lalganj",RAIN,GET,"['awadah khas, lalganj']",[],RAIN,GET,"['awadah', 'khas, lalganj']",[],location,test
"regarding gkalyawala, what the taipmaan right now?",TEMPERATURE,GET,['gkalyawala'],['right now'],CURRENT_CONDITIONS,GET,['gkalyawala'],['right now'],weather_intent,test
bargaon min temp on tuesday,TEMPERATURE_MIN,GET,['bargaon'],['tuesday'],TEMPERATURE_MIN,GET,[],['tuesday'],location,test
Flag the hawa ki raitar tonight,WIND_SPEED,ALERT,[],['tonight'],WIND_DIRECTION,ALERT,[],['tonight'],weather_intent,test
Ahesha bree 12:30 PM vs tomorrow night,WIND_SPEED,COMPARE,['Ahesha'],"['12:30 PM', 'tomorrow night']",TEMPERATURE_MIN,COMPARE,['Ahesha'],"['12:30 PM', 'tomorrow night']",weather_intent,test
need wetaher conditions for shuni for the next 3 days,CURRENT_CONDITIONS,GET,['shuni'],['next 3 days'],CURRENT_CONDITIONS,GET,[],['next 3 days'],location,test
How warm is the grround in Dhobahi for the next 7 days?,SOIL_TEMPERATURE,GET,['Dhobahi'],['next 7 days'],TEMPERATURE,GET,['Dhobahi'],['next 7 days'],weather_intent,test
"regarding mahadih narayanpur, what is the actual temperature next week?",TEMPERATURE,GET,['mahadih narayanpur'],['next week'],TEMPERATURE,GET,"['mahadih', 'narayanpur']",['next week'],location,test
Tell diffrence soil temprature Ukhrul Manipur Mithwal Buzurg Siddharthnagar Uttarpradesh now quickly,SOIL_TEMPERATURE,COMPARE,"['Ukhrul Manipur', 'Mithwal Buzurg Siddharthnagar Uttarpradesh']",['now'],SOIL_TEMPERATURE,COMPARE,"['Ukhrul', 'Manipur Mithwal Buzurg Siddharthnagar Uttarpradesh']",['now'],location,test
"Barish Buwana and Hallaornagara, whih is better?",RAIN,COMPARE,"['Buwana', 'Hallaornagara']",[],RAIN,COMPARE,"['Barish', 'Buwana', 'Hallaornagara']",[],location,test
give cloud cover percentage bhod bk. for the next 3 days,CLOUD_COVER,GET,['bhod bk.'],['next 3 days'],CLOUD_COVER,GET,['bhod'],['next 3 days'],location,test
baroun and holpur jaunpur uttarpradesh outlok,FORECAST,COMPARE,"['baroun', 'holpur jaunpur uttarpradesh']",[],FORECAST,COMPARE,['holpur jaunpur uttarpradesh'],[],location,test
how does the soil heat leiel in nadri kalol 7 pm to 9:30 pm comare to midnight?,SOIL_TEMPERATURE,COMPARE,['nadri kalol'],"['7 pm to 9:30 pm', 'midnight']",SOIL_TEMPERATURE,COMPARE,['nadri'],"['7 pm to 9:30 pm', 'midnight']",location,test
reminder for how cloudy parasigaria puruliya right now,CLOUD_COVER,ALERT,['parasigaria puruliya'],['right now'],CLOUD_COVER,ALERT,"['parasigaria', 'puruliya']",['right now'],location,test
warn me about the wether forecaat on saturday,FORECAST,ALERT,[],['saturday'],CURRENT_CONDITIONS,ALERT,[],['saturday'],weather_intent,test
sir Malegaon v/s Manchanahalli currnt codnitions later today,CURRENT_CONDITIONS,COMPARE,"['Malegaon', 'Manchanahalli']",['later today'],CURRENT_CONDITIONS,COMPARE,"['Malegaon', 'Manchanahalli currnt']",['later today'],location,test
"for ingish timapur khagaria and sadar both, what is the weather status tomorrow?",CURRENT_CONDITIONS,COMPARE,"['ingish timapur khagaria', 'sadar']",['tomorrow'],CURRENT_CONDITIONS,COMPARE,"['timapur khagaria', 'sadar']",['tomorrow'],location,test
"Put the relative mooisture nearby against Devapar, Santkabirnagar",HUMIDITY,COMPARE,"['nearby', 'Devapar, Santkabirnagar']",[],HUMIDITY,COMPARE,"['nearby', 'Devapar']",['Santkabirnagar'],"location,time",test
Contrast the drizlze here with Uttaakhand for the next 7 days,RAIN,COMPARE,"['here', 'Uttaakhand']",['next 7 days'],FORECAST,COMPARE,"['here', 'Uttaakhand']",['next 7 days'],weather_intent,test
tell me when ground temp changs gahlian for the next 3 days,SOIL_TEMPERATURE,ALERT,['gahlian'],['next 3 days'],SOIL_TEMPERATURE,ALERT,[],['next 3 days'],location,test
kindly share the dew temperature for tarf tajwal jammu and kashmir,DEW_POINT,GET,['tarf tajwal jammu and kashmir'],[],DEW_POINT,GET,"['tarf tajwal jammu', 'kashmir']",[],location,test
Notify me aobut the meximum temprature near by tomorrow morning,TEMPERATURE_MAX,ALERT,['near by'],['tomorrow morning'],TEMPERATURE,ALERT,['near by'],['tomorrow morning'],weather_intent,test
Show me the taammaan for Ama Tola Magura from 2 am to 7 AM,TEMPERATURE,COMPARE,"['Ama Tola', 'Magura']",['2 am to 7 AM'],TEMPERATURE,GET,['Ama Tola Magura'],['2 am to 7 AM'],"action,location",test
Tilikara Gajapati strong wind later today??,WIND_SPEED,GET,['Tilikara Gajapati'],['later today'],WIND_SPEED,GET,['Tilikara Gajapati'],"['later', 'today']",time,test
Comare Dwarikapur and Navsair day high,TEMPERATURE_MAX,COMPARE,"['Dwarikapur', 'Navsair']",[],TEMPERATURE_MAX,COMPARE,"['Dwarikapur', 'Navsair']",['day'],time,test
is there earh temperature warning on friday?,SOIL_TEMPERATURE,ALERT,[],['friday'],TEMPERATURE,ALERT,[],['friday'],weather_intent,test
"par shibpur v/s sundarpur, dhaulpur, rajasthan rh in 30 minutes bro",HUMIDITY,COMPARE,"['par shibpur', 'sundarpur, dhaulpur, rajasthan']",['30 minutes'],HUMIDITY,COMPARE,"['shibpur', 'sundarpur, dhaulpur, rajasthan']",['30 minutes'],location,test
Compare the dytime temperature in Kopaganj between 90 minutes and 6 PM,TEMPERATURE_MAX,COMPARE,['Kopaganj'],"['90 minutes', '6 PM']",TEMPERATURE,COMPARE,['Kopaganj'],"['90 minutes', '6 PM']",weather_intent,test
r.venkampeta ka rain chnce 2day,RAIN,GET,['r.venkampeta'],['2day'],RAIN,GET,['venkampeta'],['2day'],location,test
how hot is it rn in Muzaffarpur,TEMPERATURE,GET,['Muzaffarpur'],['rn'],TEMPERATURE,GET,['Muzaffarpur'],[],time,eval-en
how warm will it be day after tomorrow in Remta,TEMPERATURE,GET,['Remta'],['day after tomorrow'],CLOUD_COVER,GET,['Remta'],['day after tomorrow'],weather_intent,eval-en
"Compare the temperature in Haryana, Bihar and Tripura today",TEMPERATURE,COMPARE,"['Haryana', 'Bihar', 'Tripura']",['today'],TEMPERATURE,COMPARE,"['Haryana, Bihar', 'Tripura']",['today'],location,eval-en
is it hotter in Mendoza or San Juan this week,TEMPERATURE,COMPARE,"['Mendoza', 'San Juan']",['this week'],TEMPERATURE_MAX,COMPARE,"['Mendoza', 'San Juan']",['this week'],weather_intent,eval-en
alert me if the temperature crosses 42 degrees in Iragavaram tomorrow,TEMPERATURE,ALERT,['Iragavaram'],['tomorrow'],TEMPERATURE,ALERT,['Iragavaram'],"['42', 'tomorrow']",time,eval-en
frost alert for my farm tomorrow morning,TEMPERATURE_MIN,ALERT,['my farm'],['tomorrow morning'],FORECAST,ALERT,['my farm'],['tomorrow morning'],weather_intent,eval-en
how hot will it get in Kantamegha between 11 AM and 4 PM,TEMPERATURE_MAX,GET,['Kantamegha'],"['11 AM', '4 PM']",TEMPERATURE,COMPARE,['Kantamegha'],"['11 AM', '4 PM']","weather_intent,action",eval-en
alert me if the max temp goes above 45 degrees in Buxar,TEMPERATURE_MAX,ALERT,['Buxar'],[],TEMPERATURE_MAX,ALERT,['Buxar'],['45'],time,eval-en
heat warning for my village this week?,TEMPERATURE_MAX,ALERT,['my village'],['this week'],TEMPERATURE,ALERT,['my village'],['this week'],weather_intent,eval-en
"compare rainfall in East Godavari, Perambalur and Tinsukia this week",RAIN,COMPARE,"['East Godavari', 'Perambalur', 'Tinsukia']",['this week'],RAIN,COMPARE,"['East Godavari, Perambalur', 'Tinsukia']",['this week'],location,eval-en
let me know the humidity in Dehuridih every morning,HUMIDITY,ALERT,['Dehuridih'],['every morning'],HUMIDITY,GET,['Dehuridih every'],['morning'],"action,location,time",eval-en
notify me when dew point crosses 20 in Gangrar tomorrow,DEW_POINT,ALERT,['Gangrar'],['tomorrow'],DEW_POINT,ALERT,['Gangrar'],"['20', 'tomorrow']",time,eval-en
wind speed in kmph for Buxar today,WIND_SPEED,GET,['Buxar'],['today'],WIND_SPEED,GET,"['kmph', 'Buxar']",['today'],location,eval-en
wind,WIND_SPEED,GET,[],[],WIND_DIRECTION,GET,[],[],weather_intent,eval-en
let me know when the wind turns westerly in Vaghan,WIND_DIRECTION,ALERT,['Vaghan'],[],WIND_SPEED,ALERT,['Vaghan'],['westerly'],"weather_intent,time",eval-en
solar exposure between 9 AM and 3 PM in Marpalli,SUNSHINE,GET,['Marpalli'],"['9 AM', '3 PM']",SUNSHINE,COMPARE,['Marpalli'],"['9 AM', '3 PM']",action,eval-en
notify me if sunshine hours fall below 5 in Gangrar tomorrow,SUNSHINE,ALERT,['Gangrar'],['tomorrow'],SUNSHINE,ALERT,['Gangrar'],"['5', 'tomorrow']",time,eval-en
"which field is drier, Remta or Paridi this week",SOIL_MOISTURE,COMPARE,"['Remta', 'Paridi']",['this week'],RAIN,COMPARE,"['Remta', 'Paridi']",['this week'],weather_intent,eval-en
irrigation alert for my village tomorrow morning,SOIL_MOISTURE,ALERT,['my village'],['tomorrow morning'],CURRENT_CONDITIONS,ALERT,['my village'],['tomorrow morning'],weather_intent,eval-en
soil temp alert for my farm before sowing next week,SOIL_TEMPERATURE,ALERT,['my farm'],['next week'],SOIL_TEMPERATURE,ALERT,['my farm'],"['sowing', 'next week']",time,eval-en
notify me when ground temperature crosses 25 in Taloda,SOIL_TEMPERATURE,ALERT,['Taloda'],[],SOIL_TEMPERATURE,ALERT,['Taloda'],['25'],time,eval-en
rainfall Buxar 6:15 pm to 9:45 pm,RAIN,GET,['Buxar'],['6:15 pm to 9:45 pm'],RAIN,COMPARE,['Buxar'],['6:15 pm to 9:45 pm'],action,eval-en
humidity in Jaitpur and Dehuridih and Remta tomorrow morning,HUMIDITY,COMPARE,"['Jaitpur', 'Dehuridih', 'Remta']",['tomorrow morning'],HUMIDITY,COMPARE,"['Jaitpur and', 'Dehuridih', 'Remta']",['tomorrow morning'],location,eval-en
ee roju Vaghan lo vaatavaranam ela undi?,CURRENT_CONDITIONS,GET,['Vaghan'],['ee roju'],CURRENT_CONDITIONS,GET,['Vaghan'],[],time,eval-mixed
kal Muzaffarpur ka mausam kaisa rahega,CURRENT_CONDITIONS,GET,['Muzaffarpur'],['kal'],CURRENT_CONDITIONS,GET,['Muzaffarpur'],[],time,eval-mixed
aage kya mausam rahega Buxar me,FORECAST,GET,['Buxar'],[],CURRENT_CONDITIONS,ALERT,['Buxar'],[],"weather_intent,action",eval-mixed
kitna temperature hai Siyana me abhi,TEMPERATURE,GET,['Siyana'],['abhi'],TEMPERATURE,ALERT,['Siyana'],[],"action,time",eval-mixed
raat ka temperature kitna hoga Mainpuri me,TEMPERATURE_MIN,GET,['Mainpuri'],['raat'],SOIL_TEMPERATURE,GET,"['kitna', 'Mainpuri']",[],"weather_intent,location,time",eval-mixed
sabse zyada temperature kal Siyana me,TEMPERATURE_MAX,GET,['Siyana'],['kal'],TEMPERATURE,ALERT,['Siyana'],[],"weather_intent,action,time",eval-mixed
kal barish hogi kya Buxar me,RAIN,GET,['Buxar'],['kal'],RAIN,ALERT,['Buxar'],[],"action,time",eval-mixed
vaana padutunda Vaghan lo repu?,RAIN,GET,['Vaghan'],['repu'],RAIN,GET,"['padutunda', 'Vaghan lo repu']",[],"location,time",eval-mixed
namii kitni hai Mainpuri me abhi,HUMIDITY,GET,['Mainpuri'],['abhi'],HUMIDITY,ALERT,"['kitni', 'Mainpuri']",[],"action,location,time",eval-mixed
os bindu Marpalli me kal,DEW_POINT,GET,['Marpalli'],['kal'],DEW_POINT,GET,['Marpalli'],[],time,eval-mixed
